year,driver_name,Yarış,Puan,Galibiyet,Podyum
1969,Pedro Rodríguez,5,3.0,0,0
1970,Clay Regazzoni,8,33.0,1,4
1970,Ignazio Giunti,4,3.0,0,0
1970,Jacky Ickx,13,40.0,3,5
1971,Clay Regazzoni,11,13.0,0,3
1971,Jacky Ickx,11,19.0,1,3
1971,Mario Andretti,6,12.0,1,1
1972,Arturo Merzario,2,1.0,0,0
1972,Clay Regazzoni,10,15.0,0,2
1972,Jacky Ickx,12,27.0,1,4
1972,Mario Andretti,5,4.0,0,0
1972,Nanni Galli,1,0.0,0,0
1973,Arturo Merzario,9,6.0,0,0
1973,Jacky Ickx,10,8.0,0,0
1974,Clay Regazzoni,15,52.0,1,7
1974,Niki Lauda,15,38.0,2,5
1975,Clay Regazzoni,14,25.0,1,3
1975,Niki Lauda,14,64.5,5,8
1976,Carlos Reutemann,1,0.0,0,0
1976,Clay Regazzoni,15,31.0,1,4
1976,Niki Lauda,14,68.0,5,9
1977,Carlos Reutemann,17,42.0,1,6
1977,Gilles Villeneuve,2,0.0,0,0
1977,Niki Lauda,15,72.0,3,10
1978,Carlos Reutemann,16,48.0,4,7
1978,Gilles Villeneuve,16,17.0,1,2
1979,Gilles Villeneuve,15,53.0,3,7
1979,Jody Scheckter,15,60.0,3,6
1980,Gilles Villeneuve,14,6.0,0,0
1980,Jody Scheckter,14,2.0,0,0
1981,Didier Pironi,15,9.0,0,0
1981,Gilles Villeneuve,15,25.0,2,3
1982,Didier Pironi,12,39.0,2,6
1982,Gilles Villeneuve,5,6.0,0,1
1982,Mario Andretti,2,4.0,0,1
1982,Patrick Tambay,8,25.0,1,3
1983,Patrick Tambay,15,40.0,1,5
1983,René Arnoux,15,49.0,3,7
1984,Michele Alboreto,16,30.5,1,4
1984,René Arnoux,16,27.0,0,4
1985,Michele Alboreto,16,53.0,2,8
1985,René Arnoux,1,3.0,0,0
1985,Stefan Johansson,15,26.0,0,2
1986,Michele Alboreto,16,14.0,0,1
1986,Stefan Johansson,16,23.0,0,4
1987,Gerhard Berger,16,36.0,2,3
1987,Michele Alboreto,16,17.0,0,3
1988,Gerhard Berger,16,41.0,1,5
1988,Michele Alboreto,16,24.0,0,3
1989,Gerhard Berger,15,21.0,1,3
1989,Nigel Mansell,15,38.0,2,6
1990,Alain Prost,16,73.0,5,9
1990,Nigel Mansell,16,37.0,1,5
1991,Alain Prost,15,34.0,0,5
1991,Gianni Morbidelli,1,0.5,0,0
1991,Jean Alesi,16,21.0,0,3
1992,Ivan Capelli,14,3.0,0,0
1992,Jean Alesi,16,18.0,0,2
1992,Nicola Larini,2,0.0,0,0
1993,Gerhard Berger,16,12.0,0,1
1993,Jean Alesi,16,16.0,0,2
1994,Gerhard Berger,16,41.0,1,6
1994,Jean Alesi,14,24.0,0,4
1994,Nicola Larini,2,6.0,0,1
1995,Gerhard Berger,17,31.0,0,6
1995,Jean Alesi,17,42.0,1,5
1996,Eddie Irvine,16,11.0,0,1
1996,Michael Schumacher,16,59.0,3,8
1997,Eddie Irvine,17,24.0,0,5
